City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind
camana,52,PE,1580173703,83,-16.62,-72.71,68.9,5.26
pevek,64,RU,1580173704,88,69.7,170.31,-3.51,3.65
puerto ayora,75,EC,1580173705,61,-0.74,-90.35,82.4,4.7
vaini,75,TO,1580173706,88,-21.2,-175.2,80.6,4.7
honningsvag,52,NO,1580173707,64,70.98,25.97,22.19,18.21
jamestown,90,US,1580173708,92,42.1,-79.24,33.01,10.29
atar,25,MR,1580173710,24,20.52,-13.05,69.71,11.7
ushuaia,90,AR,1580173585,87,-54.8,-68.3,48.2,3.36
bredasdorp,89,ZA,1580173712,82,-34.53,20.04,57.2,1.12
saldanha,76,ZA,1580173713,76,-33.01,17.94,57.2,5.82
nizhneyansk,,,,,,,,
mecca,0,SA,1580173529,25,21.43,39.83,64.35,3.69
cape town,72,ZA,1580173436,82,-33.93,18.42,61,6.93
cayenne,90,GF,1580173716,88,4.93,-52.33,78.8,3.36
punta arenas,98,CL,1580173717,66,-53.15,-70.92,51.8,14.99
richards bay,97,ZA,1580173719,66,-28.78,32.04,71.74,4.72
new norfolk,20,AU,1580173720,40,-42.78,147.06,72,18.34
kudahuvadhoo,4,MV,1580173721,71,2.67,72.89,81.09,9.51
ajdabiya,0,LY,1580173722,77,30.76,20.23,61.9,15.48
belushya guba,,,,,,,,
ribeira grande,75,PT,1580173723,93,38.52,-28.7,64.4,16.11
clyde river,5,CA,1580173724,74,70.47,-68.59,-23.8,8.05
ilulissat,90,GL,1580173725,60,69.22,-51.1,6.8,6.93
zhangye,50,CN,1580173726,58,38.93,100.45,18.3,1.19
busselton,0,AU,1580173728,25,-33.65,115.33,90,5.86
atuona,36,PF,1580173729,75,-9.8,-139.03,81.63,11.32
taolanaro,,,,,,,,
tuktoyaktuk,40,CA,1580173730,74,69.45,-133.04,-22,12.75
khatanga,16,RU,1580173731,92,71.97,102.5,-16.47,5.66
mataura,82,NZ,1580173732,64,-46.19,168.86,68.68,0.98
bluff,12,NZ,1580173733,47,-46.6,168.33,64.36,5.7
labuhan,53,ID,1580173734,84,-6.88,112.21,78.94,2.21
mahebourg,40,MU,1580173735,83,-20.41,57.7,72,5.82
tiksi,100,RU,1580173736,90,71.69,128.87,-21.14,3.91
narsaq,98,GL,1580173738,61,60.92,-46.05,14,6.93
cuiaba,93,BR,1580173508,62,-15.6,-56.1,86,3.36
kavieng,61,PG,1580173740,75,-2.57,150.8,84.72,8.21
port alfred,93,ZA,1580173741,75,-33.59,26.89,59,5.1
guerrero negro,7,MX,1580173742,66,27.98,-114.06,63.91,13.18
tubuala,75,PA,1580173743,88,9.52,-79.03,77,3.36
jishou,7,CN,1580173744,86,28.32,109.72,32.31,1.79
tongliao,100,CN,1580173539,93,43.61,122.27,11.75,9.64
rikitea,67,PF,1580173746,77,-23.12,-134.97,79.9,10.18
hermanus,60,ZA,1580173747,96,-34.42,19.23,59,4.43
avarua,100,CK,1580173749,94,-21.21,-159.78,75.2,6.93
airai,87,TL,1580173750,73,-8.93,125.41,77.04,1.92
deputatskiy,80,RU,1580173476,68,69.3,139.9,-32.33,6.02
necochea,0,AR,1580173553,80,-38.55,-58.74,57,5.99
katsuura,75,JP,1580173754,93,35.13,140.3,42.8,19.46
hobart,20,AU,1580173755,40,-42.88,147.33,72,18.34
vila franca do campo,75,PT,1580173756,100,37.72,-25.43,62.6,19.46
khani,99,GE,1580173757,42,41.96,42.96,46.4,14.99
caravelas,100,BR,1580173758,87,-17.71,-39.25,80.56,15.61
lakatoro,56,VU,1580173759,100,-16.1,167.42,86,3.36
albany,90,US,1580173502,100,42.6,-73.97,37.99,8.05
amderma,,,,,,,,
louisbourg,,,,,,,,
tautira,75,PF,1580173761,70,-17.73,-149.15,86,6.93
pangnirtung,86,CA,1580173763,67,66.15,-65.71,-22.04,3.8
mar del plata,0,AR,1580173529,67,-38,-57.56,61,5.82
illoqqortoormiut,,,,,,,,
chuy,0,UY,1580173765,75,-33.7,-53.46,62.04,7.31
sibu,75,MY,1580173766,94,2.3,111.82,78.8,1.7
moron,1,AR,1580173767,56,-34.65,-58.62,70,9.17
victoria,40,HK,1580173511,61,22.29,114.16,53.01,5.82
benghazi,1,LY,1580173769,76,32.12,20.07,59.81,11.07
lompoc,1,US,1580173770,67,34.64,-120.46,69.01,17.22
saint george,1,US,1580173621,37,37.1,-113.58,60.8,10.29
klyuchi,0,RU,1580173772,85,52.27,79.17,15.1,14.45
vila,75,PT,1580173774,93,42.03,-8.16,57,2.24
roald,100,NO,1580173775,65,62.58,6.13,41,9.17
manzhouli,0,CN,1580173776,87,49.6,117.43,-4.63,1.54
bethel,90,US,1580173777,84,41.37,-73.41,42.8,13.87
urucui,98,BR,1580173778,92,-7.23,-44.56,73.71,1.92
kodiak,75,US,1580173779,52,57.79,-152.41,19.4,8.05
murray bridge,2,AU,1580173780,54,-35.12,139.27,82,3
portland,90,US,1580173617,87,45.52,-122.68,51.8,10.29
kasongo-lunda,100,CD,1580173782,85,-6.47,16.82,69.62,0.65
cumra,75,TR,1580173784,80,37.57,32.77,33.8,3.36
puerto pinasco,,,,,,,,
puerto colombia,20,CO,1580173785,78,10.99,-74.95,80.6,11.41
fare,83,PF,1580173786,74,-16.7,-151.02,82.87,10.09
port antonio,40,JM,1580173787,69,18.18,-76.46,78.8,4.7
ponta do sol,20,PT,1580173788,72,32.67,-17.1,60.01,5.82
pelym,100,RU,1580173789,92,61.01,62,-3.5,8.93
kashi,2,CN,1580173790,62,39.45,75.98,21.2,13.42
vaitupu,,,,,,,,
castro,83,BR,1580173792,75,-24.79,-50.01,68.27,1.61
longyearbyen,69,SJ,1580173793,77,78.22,15.64,3.2,2.24
port augusta,0,AU,1580173794,64,-32.5,137.77,89.01,13.87
norman wells,75,CA,1580173795,68,65.28,-126.83,-16.6,11.41
cherskiy,38,RU,1580173796,89,68.75,161.3,-14.1,4.83
yellowknife,90,CA,1580173797,92,62.46,-114.35,19.4,9.17
boa vista,38,BR,1580173726,58,2.82,-60.67,86,11.41
saint-philippe,20,RE,1580173799,64,-21.36,55.77,71.6,10.29
toora-khem,25,RU,1580173800,99,52.47,96.11,-3.05,1.43
leningradskiy,92,RU,1580173801,96,69.38,178.42,-10.44,9.64
darnah,1,LY,1580173803,77,32.77,22.64,60.82,18.28
fitchburg,75,US,1580173701,64,42.58,-71.8,41,9.17
belyy yar,98,RU,1580173805,84,53.6,91.39,3.2,2.17
songjianghe,100,CN,1580173806,79,42.19,127.48,21.29,1.43
pozoblanco,90,ES,1580173807,93,38.38,-4.85,50,8.57
acuna,,,,,,,,
cumaral,75,CO,1580173808,69,4.27,-73.49,82.4,2.24
makinsk,100,KZ,1580173809,93,52.63,70.42,9.97,14.05
upernavik,100,GL,1580173810,93,72.79,-56.15,-15.45,3.06
choctaw,1,US,1580173812,62,35.5,-97.27,60.8,9.17
ngunguru,0,NZ,1580173813,75,-35.62,174.5,82.99,7
glebychevo,100,RU,1580173814,91,60.44,28.72,21.99,13.44
grodzisk wielkopolski,97,PL,1580173815,86,52.23,16.37,39.99,8.05
lasa,90,IT,1580173816,92,46.62,10.7,35.01,1.12
yar-sale,91,RU,1580173817,96,66.83,70.83,-6.99,13.47
san ramon,1,US,1580173540,72,37.78,-121.98,60.8,12.75
vila velha,90,BR,1580173819,94,-20.33,-40.29,75.2,4.7
shenjiamen,67,CN,1580173820,75,29.96,122.3,44.8,22.46
umzimvubu,,,,,,,,
oga,90,IT,1580173821,92,46.46,10.35,32,1.12
tual,84,ID,1580173823,77,-5.67,132.75,84.07,14.58
fort saint james,64,CA,1580173824,95,54.43,-124.25,29.5,4.09
carnarvon,40,AU,1580173825,88,-24.87,113.63,78.8,14.99
sinop,94,TR,1580173826,62,41.77,34.87,48,4.5
pisco,40,PE,1580173827,83,-13.7,-76.22,73.4,17.22
kaduy,100,RU,1580173828,82,59.2,37.15,15.87,8.61
jega,2,NG,1580173829,13,12.22,4.38,67.55,10.67
geraldton,0,AU,1580173810,69,-28.77,114.6,78.8,10.29
okakarara,100,NA,1580173831,51,-20.58,17.43,71.46,1.59
roma,90,US,1580173833,96,43.21,-75.46,33.8,8.05
butaritari,77,KI,1580173834,78,3.07,172.79,84.31,21
malwan,,,,,,,,
lodwar,100,KE,1580173835,53,3.12,35.6,83.44,14.81
te anau,41,NZ,1580173836,66,-45.42,167.72,61.23,5.66
bagdarin,0,RU,1580173837,84,54.43,113.6,-1.77,3.8
egvekinot,0,RU,1580173838,89,66.32,-179.17,-9.04,6.58
skjervoy,33,NO,1580173839,79,70.03,20.97,16.56,30.27
vestmannaeyjar,72,IS,1580173840,67,63.44,-20.27,40.41,26.24
hilo,90,US,1580173836,61,19.73,-155.09,80.6,12.75
tasiilaq,100,GL,1580173843,54,65.61,-37.64,28.4,3.36
kambove,100,CD,1580173844,98,-10.88,26.6,61.83,5.77
moen,98,NO,1580173845,61,69.13,18.61,17.6,20.8
margate,20,GB,1580173846,93,51.38,1.39,45,12.75
saskylakh,53,RU,1580173830,96,71.92,114.08,-24.83,3.04
asau,98,RO,1580173848,85,46.43,26.4,36,3.36
lebu,48,CL,1580173849,75,-37.62,-73.65,60.98,10.71
cidreira,37,BR,1580173851,83,-30.18,-50.21,75.74,19.89
cap malheureux,40,MU,1580173852,88,-19.98,57.61,72,5.82
grand island,90,US,1580173773,94,40.92,-98.34,32,6.93
lorengau,43,PG,1580173854,78,-2.02,147.27,84.34,12.82
hamilton,90,US,1580173776,78,39.18,-84.53,34,5.3
santa maria,75,BR,1580173856,65,-29.68,-53.81,78.8,9.17
keuruu,90,FI,1580173857,92,62.27,24.7,24.8,9.17
biltine,53,TD,1580173858,13,14.53,20.92,63.3,11.27
san alejo,6,SV,1580173859,64,13.43,-87.96,78.44,4.72
matagami,90,CA,1580173861,92,49.75,-77.63,15.8,9.17
brigantine,90,US,1580173862,60,39.41,-74.36,42.8,8.05
grand river south east,,,,,,,,
andenes,100,NO,1580173863,68,69.31,16.12,26.01,23.04
muzhi,89,RU,1580173864,94,65.37,64.67,-12.96,6.31
zhuozhou,,,,,,,,
camacha,20,PT,1580173865,82,33.08,-16.33,59,6.89
bambanglipuro,49,ID,1580173666,84,-7.95,110.28,78.15,3.02
souillac,40,MU,1580173868,88,-20.52,57.52,72,5.82
tabuk,61,PH,1580173869,84,17.42,121.44,70.2,3.76
reconquista,0,AR,1580173870,34,-29.15,-59.65,79.03,7.38
balkanabat,0,TM,1580173871,77,39.51,54.37,32.99,1.39
waingapu,16,ID,1580173820,76,-9.66,120.26,83.57,5.35
sindor,49,RU,1580173873,98,62.86,51.89,-12.84,3.96
kaitangata,53,NZ,1580173874,64,-46.28,169.85,68,9.35
moanda,98,GA,1580173875,78,-1.56,13.22,73.63,2.68
mrirt,,,,,,,,
wodonga,68,AU,1580173877,32,-36.12,146.88,87.01,3.36
singaparna,99,ID,1580173878,92,-7.35,108.11,72.97,0.72
dakar,0,SN,1580173879,43,14.69,-17.44,73.4,16.11
stornoway,30,GB,1580173880,86,58.21,-6.39,37.4,12.75
kapaa,75,US,1580173818,61,22.08,-159.32,78.8,5.82
longlac,,,,,,,,
aloleng,67,PH,1580173882,79,16.13,119.78,74.07,3.91
cabo san lucas,20,MX,1580173883,64,22.89,-109.91,72,12.75
aguimes,20,ES,1580173884,72,27.91,-15.45,62.6,11.41
jeremie,52,HT,1580173885,85,18.65,-74.12,68.11,2.17
lisakovsk,100,KZ,1580173887,94,52.54,62.49,8.73,11.48
naze,75,JP,1580173888,72,28.37,129.48,64.4,17.22
vardo,75,NO,1580173889,92,70.37,31.11,10.4,13.87
sola,90,VU,1580173890,94,-13.88,167.55,78.8,15.03
rosetta,40,EG,1580173891,81,31.4,30.42,53.6,2.24
thompson,90,CA,1580173616,92,55.74,-97.86,10.4,2.24
taltal,6,CL,1580173893,86,-25.4,-70.48,65.84,4.12
acapulco,20,MX,1580173650,65,16.86,-99.89,82.4,6.93
bella vista,1,US,1580173895,81,36.43,-94.23,53.6,4.9
divnomorskoye,100,RU,1580173897,77,44.5,38.14,46.89,10.2
westport,90,US,1580173682,56,41.14,-73.36,43,9.17
grindavik,90,IS,1580173899,71,63.84,-22.43,33.8,16.11
esperance,0,AU,1580173900,48,-33.87,121.9,82.4,14.99
obera,87,AR,1580173901,59,-27.49,-55.12,75.4,1.88
ahipara,0,NZ,1580173902,77,-35.17,173.17,69.1,9.82
itarema,86,BR,1580173903,85,-2.92,-39.92,78.49,4.05
axim,24,GH,1580173904,88,4.87,-2.24,77.4,1.95
askarovo,90,RU,1580173905,85,53.34,58.51,10.4,4.47
bubaque,100,GW,1580173907,71,11.28,-15.83,78.08,11.39
taoudenni,0,ML,1580173908,25,22.68,-3.98,72.95,12.73
bengkulu,94,ID,1580173853,86,-3.8,102.27,74.62,3.27
barrow,90,US,1580173846,68,71.29,-156.79,-20.2,6.93
puerto suarez,71,BO,1580173911,44,-18.95,-57.8,88.2,3.22
cururupu,100,BR,1580173912,97,-1.83,-44.87,74.73,2.42
kamsack,90,CA,1580173913,100,51.57,-101.9,17.6,5.82
nkawkaw,45,GH,1580173914,77,6.55,-0.77,71.58,2.68
srednekolymsk,97,RU,1580173915,96,67.45,153.68,-23.66,4.74
san patricio,5,MX,1580173917,69,19.22,-104.7,80.6,17.22
juneau,90,US,1580173618,94,58.3,-134.42,37,20.8
chokurdakh,100,RU,1580173919,97,70.63,147.92,-21.84,7.4
port elizabeth,100,ZA,1580173897,76,-33.92,25.57,57.2,1.12
crixas,99,BR,1580173914,98,-14.55,-49.97,69.04,6.64
ojinaga,75,MX,1580173922,24,29.57,-104.42,71.6,9.17
mao,100,ES,1580173923,82,39.89,4.27,55.4,14.99
hualmay,89,PE,1580173924,79,-11.1,-77.61,71.11,5.14
teseney,0,ER,1580173925,72,15.11,36.66,60.37,8.32
cabedelo,20,BR,1580173927,78,-6.98,-34.83,82.4,6.93
saleaula,,,,,,,,
boueni,0,YT,1580173928,94,-12.9,45.08,78.8,2.24
dikson,99,RU,1580173899,97,73.51,80.55,-10.7,4.97
notodden,99,NO,1580173930,93,59.56,9.26,36,1.99
araripina,100,BR,1580173932,89,-7.58,-40.5,70.09,2.62
contamana,45,PE,1580173933,56,-7.33,-75.02,86.47,4.12
dicabisagan,66,PH,1580173934,76,17.08,122.42,75.6,4.5
praia da vitoria,75,PT,1580173935,93,38.73,-27.07,64.4,33.04
mazagao,75,BR,1580173936,100,-0.12,-51.29,77,6.93
sesheke,78,ZM,1580173937,88,-17.48,24.3,68.63,1.86
ureki,90,GE,1580173938,56,42,41.78,46.4,18.34
maningrida,100,AU,1580173940,81,-12.07,134.27,84.99,16.08
lieksa,100,FI,1580173941,90,63.32,30.02,15.71,10.2
barentsburg,,,,,,,,
saint-pierre,0,RE,1580173875,64,-21.34,55.48,71.6,9.17
torbay,75,CA,1580173925,89,47.67,-52.73,36,14.47
lagoa,100,PT,1580173944,94,39.05,-27.98,63.68,18.57
porbandar,13,IN,1580173945,72,21.64,69.61,70.93,19.28
sondrio,75,IT,1580173947,100,46.17,9.87,45,5.82
verkhoyansk,0,RU,1580173948,62,67.54,133.38,-42.95,1.39
nikolskoye,90,RU,1580173808,85,59.7,30.79,24.8,6.71
taksimo,17,RU,1580173950,88,56.34,114.88,-9.72,0.56
bodoco,,,,,,,,
cairns,75,AU,1580173952,94,-16.92,145.77,81,3.76
padilla,75,CO,1580173953,65,3.22,-76.31,77,10.29
hithadhoo,100,MV,1580173863,80,-0.6,73.08,81.61,14.94
komsomolskiy,90,UZ,1580173956,74,40.43,71.72,37.4,4.7
oktyabrskiy,100,RU,1580173957,97,54.48,53.47,-1.19,5.79
sarkand,100,KZ,1580173958,89,45.41,79.92,20.03,1.3
georgetown,20,MY,1580173776,78,5.41,100.34,82.4,2.24
berlevag,88,NO,1580173960,68,70.86,29.09,23.94,12.08
higuey,,,,,,,,
qaanaaq,17,GL,1580173961,64,77.48,-69.36,-11.72,2.84
ksenyevka,,,,,,,,
wanning,95,CN,1580173963,92,18.8,110.4,61.41,8.75
bambous virieux,40,MU,1580173945,88,-20.34,57.76,72,5.82
kamiiso,75,JP,1580173965,74,41.82,140.65,37.4,16.11
ust-tsilma,87,RU,1580173966,99,65.44,52.15,-17.77,1.92
touros,97,BR,1580173935,83,-5.2,-35.46,80.6,9.17
broome,90,US,1580173969,94,42.25,-75.83,34,5.82
ostrovnoy,48,RU,1580173970,96,68.05,39.51,4.08,5.32
baghdad,76,IQ,1580173795,93,33.34,44.4,41,2.24
faanui,82,PF,1580173972,74,-16.48,-151.75,83.07,11.05
nome,1,US,1580173974,69,64.5,-165.41,-13,4.7
belle fourche,90,US,1580173975,74,44.67,-103.85,35.01,5.82
attawapiskat,,,,,,,,
sakakah,25,SA,1580173976,44,29.97,40.21,41,5.82
oranjestad,20,AW,1580173839,78,12.52,-70.03,80.6,11.41
samusu,,,,,,,,
porto walter,67,BR,1580173978,67,-8.27,-72.74,82.8,2.53
baruun-urt,56,MN,1580173980,89,46.68,113.28,-3.21,4.09
goias,95,BR,1580173981,96,-15.58,-49.64,66.72,3.31
winnemucca,20,US,1580173986,61,40.97,-117.74,46.4,4.7
vallenar,0,CL,1580173987,78,-28.57,-70.76,63.77,5.32
sanmenxia,0,CN,1580173988,83,34.77,111.18,29.03,3.67
antofagasta,90,CL,1580173815,83,-23.65,-70.4,72,11.41
tuggurt,,,,,,,,
champerico,40,GT,1580173990,78,14.3,-91.92,80.6,6.93
saint-georges,83,GD,1580173991,78,12.06,-61.75,78.8,10.29
dingle,68,PH,1580173993,85,11,122.67,76.59,6.33
athabasca,67,CA,1580173994,82,54.72,-113.29,23.88,5.84
samarai,100,PG,1580173991,55,-10.62,150.67,89.8,1.92
ankazoabo,28,MG,1580173996,97,-22.28,44.52,69.46,4.14
almaznyy,90,RU,1580173997,91,48.04,40.05,32,4.47
avera,40,US,1580173853,81,33.19,-82.53,51.8,5.82
brae,69,GB,1580173999,74,60.4,-1.35,41,10.29
salalah,0,OM,1580173975,29,17.02,54.09,62.6,17.22
flinders,75,AU,1580174001,69,-34.58,150.86,87.01,3.36
ippy,15,CF,1580174003,23,6.27,21.22,72.3,7.34
kankon,76,IN,1580174004,81,15.02,74.02,74.48,4.27
ratnagiri,37,IN,1580174005,94,16.98,73.3,63.48,2.3
mount isa,90,AU,1580174006,66,-20.73,139.5,84.2,13.87
krasnoselkup,100,RU,1580173997,94,65.7,82.47,15.46,14.34
tambilil,20,PH,1580173962,78,5.96,124.67,82.4,2.24
santa eulalia del rio,,,,,,,,
dunedin,74,NZ,1580173876,64,-45.87,170.5,68,6.06
tabas,0,IR,1580174011,64,33.6,56.92,35.6,2.24
bilimbay,92,RU,1580174012,83,56.97,59.81,-4,11.18
namibe,100,AO,1580174013,79,-15.2,12.15,75.63,2.71
butterworth,20,MY,1580174014,78,5.4,100.36,82.4,2.24
soyo,100,AO,1580174015,82,-6.13,12.37,79.57,4.59
klaksvik,86,FO,1580174016,71,62.23,-6.59,33.8,2.24
maniitsoq,100,GL,1580173999,92,65.42,-52.9,9.7,1.88
teahupoo,75,PF,1580174018,70,-17.83,-149.27,86,6.93
umm kaddadah,56,SD,1580174019,23,13.6,26.69,57.25,11.07
